Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past say","(START  (IP  (LEX  past) (VP  (LEX  say))))","(START (IP past say ) )",-8.44365071442,-8.44365071442,0.999999999999,2.27627282972e-11,0.00172210304657,14.9413911207,3.,2.,2.;7.88485145674e-13;2.
"past help","(START  (IP  (LEX  past) (VP  (LEX  help))))","(START (IP (LEX past ) (VP help ) ) )",-37.816452509,-37.81645261,0.999999898995,1.72799662832e-06,0.0163051098114,86.2690764016,2.,4.000000101,3.;1.000000101;3.000000101
"past say","(START  (IP  (LEX  past) (VP  (LEX  say))))","(START (IP past say ) )",-8.44365071442,-8.44365071442,0.999999999999,2.27627282972e-11,0.00172210304657,14.9413911207,3.,2.,2.;7.88485145674e-13;2.
"past ask","(START  (IP  (LEX  past) (VP  (LEX  ask))))","(START (IP past ask ) )",-11.549597474,-11.549597474,0.99999999999,2.57766378468e-10,7.71193920351e-05,21.15328464,3.,2.00000000002,2.00000000001;9.78223068635e-12;2.00000000001
"past ask","(START  (IP  (LEX  past) (VP  (LEX  ask))))","(START (IP past ask ) )",-11.549597474,-11.549597474,0.99999999999,2.57766378468e-10,7.71193920351e-05,21.15328464,3.,2.00000000002,2.00000000001;9.78223068635e-12;2.00000000001
"past learn","(START  (IP  (LEX  past) (VP  (LEX  learn))))","(START (IP past learn ) )",-11.7319188029,-11.7319188029,0.999999999995,1.27160481086e-10,6.42661746188e-05,21.5179272977,3.,2.00000000001,2.;4.69494959234e-12;2.
"past ask","(START  (IP  (LEX  past) (VP  (LEX  ask))))","(START (IP past ask ) )",-11.549597474,-11.549597474,0.99999999999,2.57766378468e-10,7.71193920351e-05,21.15328464,3.,2.00000000002,2.00000000001;9.78223068635e-12;2.00000000001
"past fix with","(START  (IP  (LEX  past) (VP  (LEX  fix) (PP  (LEX  with)))))","(START (IP (LEX past ) (VP fix with ) ) )",-38.5090457033,-38.5090457074,0.999999995952,8.22737899202e-08,0.0161985001155,88.3468551655,3.,4.0000000081,3.;1.00000000405;4.04789752123e-09;3.00000000405
"past drink","(START  (IP  (LEX  past) (VP  (LEX  drink))))","(START (IP past drink ) )",-13.3413512449,-13.3413512449,0.999999999965,8.8290640134e-10,1.28533057986e-05,24.7367921821,3.,2.00000000007,2.00000000004;3.52184329401e-11;2.00000000004
"past drive","(START  (IP  (LEX  past) (VP  (LEX  drive))))","(START (IP (LEX past ) (VP drive ) ) )",-37.4111721863,-37.4111722312,0.999999955101,8.04542271704e-07,0.0164117195968,85.0532349687,2.,4.0000000449,3.;1.0000000449;3.0000000449
"past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>))))","(START (IP (LEX past ) (VP <WUG> ) ) )",-67.6910165963,-67.6910168215,0.999999774793,3.67228244301e-06,0.016091772014,175.89277628,2.,4.00000022521,3.;1.00000022521;3.00000022521
"past buy","(START  (IP  (LEX  past) (VP  (LEX  buy))))","(START (IP past buy ) )",-10.0834888908,-10.0834888908,0.999999999999,3.83654306166e-11,0.000334107683963,18.2210674735,3.,2.,2.;1.35437192167e-12;2.
"past get","(START  (IP  (LEX  past) (VP  (LEX  get))))","(START (IP past get ) )",-8.53753100618,-8.53753100618,0.999999999999,3.55312150825e-11,0.00156778838406,15.1291517042,3.,2.,2.;1.25078817783e-12;2.
