Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past say","(START  (IP  (LEX  past) (VP  (LEX  say))))","(START (IP past (LEX say ) ) )",-10.9447639315,-10.9456754158,0.999088930964,0.00728901013413,0.00641240250129,25.0251096109,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past help","(START  (IP  (LEX  past) (VP  (LEX  help))))","(START (IP past (LEX help ) ) )",-15.1987694136,-15.1996808979,0.999088930964,0.00728901013413,9.11023715545e-05,37.7910017304,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past say","(START  (IP  (LEX  past) (VP  (LEX  say))))","(START (IP past (LEX say ) ) )",-10.9447639315,-10.9456754158,0.999088930964,0.00728901013413,0.00641240250129,25.0251096109,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past ask","(START  (IP  (LEX  past) (VP  (LEX  ask))))","(START (IP past (LEX ask ) ) )",-13.5501131423,-13.5510246266,0.999088930964,0.00728901013413,0.000473731203751,32.8435308844,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past ask","(START  (IP  (LEX  past) (VP  (LEX  ask))))","(START (IP past (LEX ask ) ) )",-13.5501131423,-13.5510246266,0.999088930964,0.00728901013413,0.000473731203751,32.8435308844,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past learn","(START  (IP  (LEX  past) (VP  (LEX  learn))))","(START (IP past (LEX learn ) ) )",-15.0164483426,-15.0173598269,0.999088930964,0.00728901013413,0.000109322792136,37.2438724112,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past ask","(START  (IP  (LEX  past) (VP  (LEX  ask))))","(START (IP past (LEX ask ) ) )",-13.5501131423,-13.5510246266,0.999088930964,0.00728901013413,0.000473731203751,32.8435308844,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past fix with","(START  (IP  (LEX  past) (VP  (LEX  fix) (PP  (LEX  with)))))","(START (IP past (LEX fix ) (PP with ) ) )",-25.1400567985,-25.6504001434,0.600289437108,0.672928401951,0.0257571633027,69.7479822935,9.,4.39971056665,2.0000000057;1.39971056079;1.00000000015;3.39971056095
"past drink","(START  (IP  (LEX  past) (VP  (LEX  drink))))","(START (IP past (LEX drink ) ) )",-13.7631635726,-13.7643165169,0.998847720048,0.00953951234116,0.000382645241819,33.4841999398,6.,3.00091084909,2.00000000457;1.00091084451;3.00091084451
"past drive","(START  (IP  (LEX  past) (VP  (LEX  drive))))","(START (IP past (LEX drive ) ) )",-14.1691518702,-14.1700633545,0.999088930964,0.00728901013413,0.000255086156781,34.7012110524,4.,3.00091106904,2.00000000457;1.00091106447;3.00091106447
"past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>))))","(START (IP past (LEX <WUG> ) ) )",-43.4294756283,-43.5566308445,0.880596979069,0.370648789537,6.36424717056e-09,122.699057043,7.,3.00080301735,2.00000938246;1.00080301222;3.00079363489
"past buy","(START  (IP  (LEX  past) (VP  (LEX  buy))))","(START (IP past (VP buy ) ) )",-13.5358169067,-13.5360418463,0.999775085652,0.00211586453744,0.00188703769289,31.4060684762,6.,3.00000021415,2.00000000925;1.0000002049;3.0000002049
"past get","(START  (IP  (LEX  past) (VP  (LEX  get))))","(START (IP past (LEX get ) ) )",-11.0032381678,-11.004164934,0.99907366316,0.00747363717876,0.00604800999495,25.200671153,6.,3.00091105512,2.00000000457;1.00091105055;3.00091105055
