Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present <WUG> <WUG> present forget","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  forget)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX forget ) ) ) ) ) ) )",-107.207433773,-107.207433773,1.,0.,0.0983619789145,488.927283551,1.,11.,3.;2.;2.;2.;2.;7.
"present laugh <WUG> present buy","(START  (IP  (LEX  present) (VP  (LEX  laugh) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  buy)))))))","(START (IP (LEX present ) (VP (LEX laugh ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX buy ) ) ) ) ) ) )",-79.9518538043,-79.9518538043,1.,0.,0.0984132675132,378.802150311,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present leave","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  leave)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX leave ) ) ) ) ) ) )",-106.571629038,-106.571629038,1.,0.,0.0984235635737,484.476650408,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present sneeze <WUG> present leave","(START  (IP  (LEX  present) (VP  (LEX  sneeze) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  leave)))))))","(START (IP (LEX present ) (VP (LEX sneeze ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX leave ) ) ) ) ) ) )",-80.0891166507,-80.0891166507,1.,0.,0.0984372277802,378.546600858,1.,11.,3.;2.;2.;2.;2.;7.
"present notice <WUG> present turn","(START  (IP  (LEX  present) (VP  (LEX  notice) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  turn)))))))","(START (IP (LEX present ) (VP (LEX notice ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX turn ) ) ) ) ) ) )",-80.5709882304,-80.5709882304,1.,0.,0.0984611880472,379.840278216,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present keep","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  keep)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX keep ) ) ) ) ) ) )",-106.919849463,-106.919849463,1.,0.,0.0983850731617,486.914193384,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present play","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX play ) ) ) ) ) ) )",-104.713411794,-104.713411794,1.,0.,0.0991320032412,471.469129701,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present smile <WUG> present pay","(START  (IP  (LEX  present) (VP  (LEX  smile) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  pay)))))))","(START (IP (LEX present ) (VP (LEX smile ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX pay ) ) ) ) ) ) )",-83.6156664108,-83.6156664108,1.,0.,0.0983071993884,401.153025478,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX <WUG> ) ) ) ) ) ) )",-135.194408719,-135.194408719,1.,0.,0.0982926690705,684.836108172,1.,11.,3.;2.;2.;2.;2.;7.
"present <WUG> <WUG> present forget","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  forget)))))))","(START (IP (LEX present ) (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (VP (LEX forget ) ) ) ) ) ) )",-107.207433773,-107.207433773,1.,0.,0.0983619789145,488.927283551,1.,11.,3.;2.;2.;2.;2.;7.
