trigrams,log_prob,condition,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,non-island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP'), ('VP', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-23.42692444030134,whether,non-island,embedded
