log_prob,condition,matrix_verb
-67.1153735047358,other,"hear
"
-67.1153735047358,other,"hear
"
-67.1153735047358,other,"hear
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-78.76462968225312,other,"WUG
"
-71.35523874611542,other,"complain
"
-71.35523874611542,other,"complain
"
-71.35523874611542,other,"complain
"
-71.35523874611542,other,"complain
"
-71.35523874611542,other,"complain
"
-71.35523874611542,other,"complain
"
