log_prob,condition,matrix_verb
-67.55639532391334,bridge,"feel
"
-67.55639532391334,bridge,"feel
"
-67.55639532391334,bridge,"feel
"
-67.55639532391334,bridge,"feel
"
-67.55639532391334,bridge,"feel
"
-67.55639532391334,bridge,"feel
"
-41.99372536881343,bridge,"say
"
-41.99372536881343,bridge,"say
"
-41.99372536881343,bridge,"say
"
-41.99372536881343,bridge,"say
"
-41.99372536881343,bridge,"say
"
-41.99372536881343,bridge,"say
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-56.53645687384001,bridge,"hope
"
-56.53645687384001,bridge,"hope
"
-56.53645687384001,bridge,"hope
"
-56.53645687384001,bridge,"hope
"
-56.53645687384001,bridge,"hope
"
-56.53645687384001,bridge,"hope
"
-34.18170510969167,bridge,"think
"
-34.18170510969167,bridge,"think
"
-34.18170510969167,bridge,"think
"
-34.18170510969167,bridge,"think
"
-34.18170510969167,bridge,"think
"
-34.18170510969167,bridge,"think
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-78.76462968225312,bridge,"WUG
"
-48.24990270561007,factive,"know
"
-48.24990270561007,factive,"know
"
-48.24990270561007,factive,"know
"
-48.24990270561007,factive,"know
"
-48.24990270561007,factive,"know
"
-48.24990270561007,factive,"know
"
-68.19287703874957,factive,"remember
"
-68.19287703874957,factive,"remember
"
-68.19287703874957,factive,"remember
"
-68.19287703874957,factive,"remember
"
-68.19287703874957,factive,"remember
"
-68.19287703874957,factive,"remember
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-70.35948821911678,factive,"notice
"
-70.35948821911678,factive,"notice
"
-70.35948821911678,factive,"notice
"
-70.35948821911678,factive,"notice
"
-70.35948821911678,factive,"notice
"
-70.35948821911678,factive,"notice
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-68.19287703874957,factive,"forget
"
-68.19287703874957,factive,"forget
"
-68.19287703874957,factive,"forget
"
-68.19287703874957,factive,"forget
"
-68.19287703874957,factive,"forget
"
-68.19287703874957,factive,"forget
"
-68.77736567018059,factive,"learn
"
-68.77736567018059,factive,"learn
"
-68.77736567018059,factive,"learn
"
-68.77736567018059,factive,"learn
"
-68.77736567018059,factive,"learn
"
-68.77736567018059,factive,"learn
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-78.76462968225312,factive,"WUG
"
-69.04011582913317,manner,"whisper
"
-69.04011582913317,manner,"whisper
"
-69.04011582913317,manner,"whisper
"
-69.04011582913317,manner,"whisper
"
-69.04011582913317,manner,"whisper
"
-69.04011582913317,manner,"whisper
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-71.35523874611542,manner,"whine
"
-71.35523874611542,manner,"whine
"
-71.35523874611542,manner,"whine
"
-71.35523874611542,manner,"whine
"
-71.35523874611542,manner,"whine
"
-71.35523874611542,manner,"whine
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"WUG
"
-78.76462968225312,manner,"scream
"
-78.76462968225312,manner,"scream
"
-78.76462968225312,manner,"scream
"
-78.76462968225312,manner,"scream
"
-78.76462968225312,manner,"scream
"
-78.76462968225312,manner,"scream
"
-67.1153735047358,other,"hear
"
-67.1153735047358,other,"hear
"
-67.1153735047358,other,"hear
"
