log_prob,condition,matrix_verb
-41.832244878237205,bridge,"feel
"
-41.832244878237205,bridge,"feel
"
-41.832244878237205,bridge,"feel
"
-41.832244878237205,bridge,"feel
"
-41.832244878237205,bridge,"feel
"
-41.832244878237205,bridge,"feel
"
-41.832244878237205,bridge,"say
"
-41.832244878237205,bridge,"say
"
-41.832244878237205,bridge,"say
"
-41.832244878237205,bridge,"say
"
-41.832244878237205,bridge,"say
"
-41.832244878237205,bridge,"say
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"hope
"
-41.832244878237205,bridge,"hope
"
-41.832244878237205,bridge,"hope
"
-41.832244878237205,bridge,"hope
"
-41.832244878237205,bridge,"hope
"
-41.832244878237205,bridge,"hope
"
-41.832244878237205,bridge,"think
"
-41.832244878237205,bridge,"think
"
-41.832244878237205,bridge,"think
"
-41.832244878237205,bridge,"think
"
-41.832244878237205,bridge,"think
"
-41.832244878237205,bridge,"think
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,bridge,"WUG
"
-41.832244878237205,factive,"know
"
-41.832244878237205,factive,"know
"
-41.832244878237205,factive,"know
"
-41.832244878237205,factive,"know
"
-41.832244878237205,factive,"know
"
-41.832244878237205,factive,"know
"
-41.832244878237205,factive,"remember
"
-41.832244878237205,factive,"remember
"
-41.832244878237205,factive,"remember
"
-41.832244878237205,factive,"remember
"
-41.832244878237205,factive,"remember
"
-41.832244878237205,factive,"remember
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"notice
"
-41.832244878237205,factive,"notice
"
-41.832244878237205,factive,"notice
"
-41.832244878237205,factive,"notice
"
-41.832244878237205,factive,"notice
"
-41.832244878237205,factive,"notice
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"forget
"
-41.832244878237205,factive,"forget
"
-41.832244878237205,factive,"forget
"
-41.832244878237205,factive,"forget
"
-41.832244878237205,factive,"forget
"
-41.832244878237205,factive,"forget
"
-41.832244878237205,factive,"learn
"
-41.832244878237205,factive,"learn
"
-41.832244878237205,factive,"learn
"
-41.832244878237205,factive,"learn
"
-41.832244878237205,factive,"learn
"
-41.832244878237205,factive,"learn
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,factive,"WUG
"
-41.832244878237205,manner,"whisper
"
-41.832244878237205,manner,"whisper
"
-41.832244878237205,manner,"whisper
"
-41.832244878237205,manner,"whisper
"
-41.832244878237205,manner,"whisper
"
-41.832244878237205,manner,"whisper
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"whine
"
-41.832244878237205,manner,"whine
"
-41.832244878237205,manner,"whine
"
-41.832244878237205,manner,"whine
"
-41.832244878237205,manner,"whine
"
-41.832244878237205,manner,"whine
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
-41.832244878237205,manner,"WUG
"
