trigrams,log_prob,condition,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_take'), ('IP_past', 'VP_take', 'END')]",-100.67585141715263,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_chase'), ('IP_past', 'VP_chase', 'END')]",-112.53188781697179,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_present'), ('CP_WUG', 'IP_present', 'VP_love'), ('IP_present', 'VP_love', 'END')]",-102.79042083057062,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_sell'), ('IP_past', 'VP_sell', 'END')]",-112.53188781697179,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_present'), ('CP_WUG', 'IP_present', 'VP_drink'), ('IP_present', 'VP_drink', 'END')]",-100.91671800312817,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_present'), ('CP_WUG', 'IP_present', 'VP_drive'), ('IP_present', 'VP_drive', 'END')]",-101.79042083057062,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_present'), ('CP_WUG', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'END')]",-112.53188781697179,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_present'), ('CP_WUG', 'IP_present', 'VP_study'), ('IP_present', 'VP_study', 'END')]",-102.79042083057062,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_present'), ('CP_WUG', 'IP_present', 'VP_like'), ('IP_present', 'VP_like', 'END')]",-98.95021645839363,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_write'), ('IP_past', 'VP_write', 'END')]",-103.37454088160894,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_buy'), ('IP_past', 'VP_buy', 'END')]",-100.79126377248235,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_eat'), ('IP_past', 'VP_eat', 'END')]",-100.67585141715263,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_read'), ('IP_past', 'VP_read', 'END')]",-104.3720164801934,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_see'), ('IP_past', 'VP_see', 'END')]",-99.01890050755277,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_start'), ('IP_past', 'VP_start', 'END')]",-104.3720164801934,whether,island,embedded
"[('START', 'IP_present', 'VP_WUG'), ('IP_present', 'VP_WUG', 'CP_WUG'), ('VP_WUG', 'CP_WUG', 'IP_past'), ('CP_WUG', 'IP_past', 'VP_bake'), ('IP_past', 'VP_bake', 'END')]",-112.53188781697179,whether,island,embedded
"[('START', 'IP_present', 'VP_think'), ('IP_present', 'VP_think', 'CP_that'), ('VP_think', 'CP_that', 'IP_past'), ('CP_that', 'IP_past', 'VP_take'), ('IP_past', 'VP_take', 'END')]",-84.82708178932174,whether,non-island,embedded
"[('START', 'IP_present', 'VP_think'), ('IP_present', 'VP_think', 'CP_that'), ('VP_think', 'CP_that', 'IP_past'), ('CP_that', 'IP_past', 'VP_chase'), ('IP_past', 'VP_chase', 'END')]",-96.68311818914088,whether,non-island,embedded
"[('START', 'IP_present', 'VP_think'), ('IP_present', 'VP_think', 'CP_that'), ('VP_think', 'CP_that', 'IP_present'), ('CP_that', 'IP_present', 'VP_love'), ('IP_present', 'VP_love', 'END')]",-86.94165120273975,whether,non-island,embedded
"[('START', 'IP_present', 'VP_think'), ('IP_present', 'VP_think', 'CP_that'), ('VP_think', 'CP_that', 'IP_past'), ('CP_that', 'IP_past', 'VP_sell'), ('IP_past', 'VP_sell', 'END')]",-96.68311818914088,whether,non-island,embedded
"[('START', 'IP_present', 'VP_think'), ('IP_present', 'VP_think', 'CP_that'), ('VP_think', 'CP_that', 'IP_present'), ('CP_that', 'IP_present', 'VP_drink'), ('IP_present', 'VP_drink', 'END')]",-85.06794837529728,whether,non-island,embedded
