trigrams,log_prob,condition,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_WUG'), ('IP', 'VP_WUG', 'CP'), ('VP_WUG', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-79.78503794116236,whether,island,embedded
"[('START', 'IP', 'VP_think'), ('IP', 'VP_think', 'CP'), ('VP_think', 'CP', 'IP'), ('CP', 'IP', 'VP'), ('IP', 'VP', 'END')]",-33.05198050244292,whether,non-island,embedded
