trigrams,log_prob,condition,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
"[('START', 'IP', 'VP'), ('IP', 'VP', 'CP_WUG'), ('VP', 'CP_WUG', 'IP'), ('CP_WUG', 'IP', 'VP'), ('IP', 'VP', 'END')]",-70.07377458570684,whether,island,embedded
