log_prob,condition,matrix_verb
-24.156722433926774,bridge,"feel
"
-24.156722433926774,bridge,"feel
"
-24.156722433926774,bridge,"feel
"
-24.156722433926774,bridge,"feel
"
-24.156722433926774,bridge,"feel
"
-24.156722433926774,bridge,"feel
"
-24.156722433926774,bridge,"say
"
-24.156722433926774,bridge,"say
"
-24.156722433926774,bridge,"say
"
-24.156722433926774,bridge,"say
"
-24.156722433926774,bridge,"say
"
-24.156722433926774,bridge,"say
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"hope
"
-24.156722433926774,bridge,"hope
"
-24.156722433926774,bridge,"hope
"
-24.156722433926774,bridge,"hope
"
-24.156722433926774,bridge,"hope
"
-24.156722433926774,bridge,"hope
"
-24.156722433926774,bridge,"think
"
-24.156722433926774,bridge,"think
"
-24.156722433926774,bridge,"think
"
-24.156722433926774,bridge,"think
"
-24.156722433926774,bridge,"think
"
-24.156722433926774,bridge,"think
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,bridge,"WUG
"
-24.156722433926774,factive,"know
"
-24.156722433926774,factive,"know
"
-24.156722433926774,factive,"know
"
-24.156722433926774,factive,"know
"
-24.156722433926774,factive,"know
"
